"Antwort ID","Datum Abgeschickt","Zufallswert","{if(is_empty(gleichung),rand(1,2), gleichung)}","Du bist Sachbearbeiter:in für Kund:innenkredite in der örtlichen Bank GmbH. Aufgrund der aktuellen Wirtschaftslage erhaltet ihr eine ungewöhnlich hohe Menge an Kreditanfragen. Jedoch unterschreibt nicht jede/r Kund:in am Ende einen Vertrag. Wenn es zu keinem Abschluss kommt, bedeutet das Verlust für die Bank GmbH und diesen gilt es zu vermeiden.  Es ist euch nicht möglich, alle Kreditanfragen sofort zu bearbeiten, deshalb stehst du nun vor der Aufgabe, die erhaltenen und teilweise bearbeiteten Kreditanfragen zu priorisieren. Dein Ziel ist es, die Kreditanfragen mit den höchsten Erfolgsaussichten, also die Anfragen, die am wahrscheinlichsten zu einem finalen Kreditvertrag führen, auszuwählen und sie somit für die weitere Bearbeitung freizugeben.     Die Bank GmbH hat im Zuge eines Digitalisierungsprogramms eine KI-Anwendung eingeführt, die dich bei dieser Aufgabe unterstützen wird. Die KI-Anwendung analysiert die Randdaten der Kreditanfrage sowie die bisher von anderen Mitarbeitern und automatisch vom System ausgeführten Schritte. Auf Basis dieser analysierten Daten trifft die KI-Anwendung eine Vorhersage, ob der Kreditantrag zu einem Erfolg führt oder nicht.    ","Randdaten eines Kreditantrags:   Alle Kreditanträge, die bei dir ankommen, wurden bereits teilweise von Kolleg:innen bearbeitet.  Dieser ist aufgeteilt in die Randdaten des Kreditantrags und die bisher erfolgten Bearbeitungsschritte.   Im Folgenden ist ein beispielhafter Datensatz mit den Randdaten eines Kreditantrags dargestellt:       Gewünschte Kredithöhe: 19900,0    	der/die Kund:in beantragt einen Kredit in Höhe von 19.900,0€   Finanzierung: Auto: 1.0   	Dieses Feld kann die Werte 1.0 oder 0.0 annehmen. 1.0 - Der/die Kund:in möchte einen Kredit für den Kauf eines Autos aufnehmen, 0.0 - Der/die Kund:in möchte keinen Kredit für den Kauf eines Autos aufnehmen.  	Bitte beachte, dass dieses Feld für jedes Finanzierungsvorhaben analog erscheint. Wäre des Ziel des Kredites bspw. ein Haus wäre dieses Feld dargestellt als: ""Finanzierung: Haus: 1.0 / 0.0""   Online Antrag: 1.0    	dieses Feld kann die Werte 1.0 oder 0.0 annehmen.  1.0: der Kreditantrag wurde online eingereicht, 0.0: der Kreditantrag wurde in Person mit einem/einer Kundenberater:in bei der Bank GmbH erstellt.    Neue Kreditanfrage: 1.0     	dieses Feld kann die Werte 1.0 oder 0.0 annehmen.  1.0: Es handelt sich um einen neuen Kreditantrag des/der Kund:in, 0.0: Es handelt sich um einen Antrag, die Höhe eines bereits laufenden Kredits zu erhöhen.   Tage seit Antragseingang: 7.5    	die Zeit, die vergangen ist, seit der Kreditantrag von dem/der Kund:in eingereicht wurde, in diesem Fall 7,5 Tage     ","Arbeitsprozess:     Der ideale Arbeitsprozess kann folgendermaßen dargestellt werden:     Im Idealfall wird jeder Schritt nur einmal durchgeführt. Dies ist in der Realität jedoch selten der Fall.   Neben den Randdaten siehst du deshalb noch die bereits ausgeführten Bearbeitungsschritte. Diese sind in folgender Form dargestellt:        In der orangenen Zeile sind die Namen der verschiedenen Prozessschritte aufgeführt. Direkt darunter sieht man, wie oft ein Bearbeitungsschritt ausgeführt wurde. Manche Prozessschritte können nur maximal einmal ausgeführt werden, wie beispielsweise ""A_Erstelle Antrag"", da jeder Kreditantrag nur einmal neu eingereicht werden kann. Andere Prozessschritte können mehrmalig erfolgen, wie beispielsweise ""W_Antrag vervollständigen"". Dieser Schritt beschreibt den Anruf eines/einer Mitarbeiter:in bei dem/der Kund:in, um den Kreditantrag fertigzustellen und für die weitere Bearbeitung freizugeben. ","Wie eingangs erwähnt, erhälst du zusätzliche Unterstützung durch eine KI. Die KI trifft Vorhersagen über die Erfolgswahrscheinlichkeit eines Kreditantrags.  Die Vorhersage der KI wird als zusätzliches Feld dargestellt.   Eine positive Vorhersage bedeutet, die KI sagt voraus, dass es zu einem erfolgreichen Abschluss kommen wird. Diese Vorhersage wird mit einer ""1.0"" im Feld ""Vorhersage"" dargestellt. Zudem ist das Feld der Vorhersage rot hinterlegt:       Eine negative Vorhersage bedeutet, die KI sagt voraus, dass es zu keinem erfolgreichen Abschluss kommen wird. Diese Vorhersage wird mit einer ""0.0"" im Feld ""Vorhersage"" dargestellt. Zudem ist das Feld der Vorhersage blau hinterlegt.      ","Zusätzliche Unterstützung:  Die Bank GmbH hat ihre KI-Anwendung um einen XAI-Ansatz erweitert. XAI ist die Abkürzung für explainable artificial intelligence und beschreibt Methoden, die zusätzliche Erklärungen über die Arbeitsweise bzw. die Ergebnisse einer KI-Anwendung liefern.   Aus diesem Grund erhälst du neben der Vorhersage über die Erfolgsaussichten auch eine Erklärung, weshalb die KI zu dieser Entscheidung kommt, um dich bei ihrer Entscheidung zu unterstützen.  Der hier gewählte XAI-Ansatz trägt den Namen „SHAP“ und liefert Erklärungen über den Einfluss, den verschiedenste Datenpunkte auf die Vorhersage der KI haben.   Du erhälst die Erklärung in Form eines Wasserfalldiagramms.   Die Datenpunkte sind absteigend geordnet. Der Datenpunkt, mit dem größten Einfluss steht ganz oben.  Die Farbe und die Richtung des Pfeils gibt an, ob das Merkmal einen positiven oder negativen Einfluss auf die Erfolgswahrscheinlichkeit hat.      ","Du hast nun zwei offene Kreditanfragen vorliegen und musst nun entscheiden, welche Anfrage als erstes weiterbearbeitet wird. Der Kreditantrag mit den höchsten Erfolgsaussichten sollte als erstes weiterbearbeitet werden. Im Folgenden siehst du die Daten der zwei Kreditanfragen sowie die farblich hinterlegte Vorhersage der KI-Anwendung.     Hier siehst du die Randdaten der jeweiligen Kreditanträge:    Und das sind die bereits ausgeführten Bearbeitungsschritte:    Die KI Anwendung trifft folgende Vorhersagen:          Frage 1:  Welchen Antrag würdest du bevorzugt weiterbearbeiten ?    ","Du hast nun zwei offene Kreditanfragen vorliegen und musst nun entscheiden, welche Anfrage als erstes weiterbearbeitet wird. Der Kreditantrag mit den höchsten Erfolgsaussichten sollte als erstes weiterbearbeitet werden. Im Folgenden siehst du die Daten der zwei Kreditanfragen sowie die farblich hinterlegte Vorhersage der KI-Anwendung.     Hier siehst du die Randdaten der jeweiligen Kreditanträge:    Und das sind die bereits ausgeführten Bearbeitungsschritte:    Die KI Anwendung trifft folgende Vorhersagen:         Frage 1:  Welchen Antrag würdest du bevorzugt weiterbearbeiten ? ","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Die Daten des Kreditantrags, Randdaten sowie bereits erfolgte Prozessschritte, haben meine Entscheidung beeinflusst. ]","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Die Vorhersage der KI hat meine Entscheidung beeinflusst. ]","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Ich fühle mich sicher mit meiner Entscheidung]","Es ist ein neuer Tag und du hast zwei neue Kreditanfragen vorliegen.      Hier siehst du wieder die Randdaten der beiden neuen Kreditanträge:       Und hier erneut die bereits ausgeführten Bearbeitungsschritte:       Die KI Anwendung trifft folgende Vorhersagen:            Frage 1:   Welchen Antrag würdest du bevorzugt weiterbearbeiten ? ","Es ist ein neuer Tag und du hast zwei neue Kreditanfragen vorliegen.      Hier siehst du wieder die Randdaten der beiden neuen Kreditanträge:       Und hier erneut die bereits ausgeführten Bearbeitungsschritte:       Die KI Anwendung trifft folgende Vorhersagen:                 Frage 1:   Welchen Antrag würdest du bevorzugt weiterbearbeiten ? ","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Die Daten des Kreditantrags, Randdaten sowie bereits erfolgte Prozessschritte, haben meine Entscheidung beeinflusst. ]","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Die Vorhersage der KI hat meine Entscheidung beeinflusst. ]","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Ich fühle mich sicher mit meiner Entscheidung]","Die Kreditanträge werden weniger und du stehst nun ein letztes mal vor der Entscheidung zwischen zwei Anträgen.   Wie gewohnt hast du die Randdaten der Kreditanträge:        Die bereits ausgeführten Bearbeitungsschritte:        Und die Vorhersagen der KI Anwendung vorliegen:               Frage 1:   Welchen Antrag würdest du bevorzugt weiterbearbeiten ? ","Die Kreditanträge werden weniger und du stehst nun ein letztes mal vor der Entscheidung zwischen zwei Anträgen.   Wie gewohnt hast du die Randdaten der Kreditanträge:       Die bereits ausgeführten Bearbeitungsschritte:       Und die Vorhersagen der KI Anwendung vorliegen:                   Frage 1:   Welchen Antrag würdest du bevorzugt weiterbearbeiten ?    ","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Die Daten des Kreditantrags, Randdaten sowie bereits erfolgte Prozessschritte, haben meine Entscheidung beeinflusst. ]","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Die Vorhersage der KI hat meine Entscheidung beeinflusst. ]","Frage 2:  Im Folgenden siehst du verschiedene Aussagen, bezogen auf deine vorherige Entscheidung. Bitte wähle die Option aus, die am meisten auf dich zutrifft.   [Ich fühle mich sicher mit meiner Entscheidung]","Mit welcher Farbe war eine positive Vorhersage der KI hinterlegt ?","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Ich vertraue den Vorhersagen der KI-Anwendung.]","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Die Ergebnisse der KI-Anwendung sind vorhersehbar.]","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Die KI-Anwendung ist sehr zuverlässig. Ich kann mich darauf verlassen, dass sie immer korrekt ist.]","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Ich fühle mich sicher, wenn ich mich auf die Anwendung verlasse.]","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Ich misstraue den Vorhersagen der KI-Anwendung.]","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Die KI-Anwendung ist besser als ich darin, eine korrekte Entscheidung zu treffen.]","Bitte wähle die für dich zutreffende Antwort zu jeder Aussage.  [Ich benutze die KI-Anwendung gerne.]","Persönliche Fragen:  Mit welchem Geschlecht identifizierst du dich ? ","Bist du aktuell an einer Hochschule eingeschrieben ?","Wie alt bist du ?","Hast du bereits Erfahrung im Bereich der Kreditvergabe ?","Hast du bereits Erfahrung im Bereich KI ? ","Hast du noch Anmerkungen zu der Umfrage ?","Vielen Dank für die Teilnahme an meiner Umfrage ! "
"3","2023-12-14 18:39:13","1240009144","2","","","","","","","Kreditantrag 1","Trifft zu","Trifft zu","Keine Meinung","","Kreditantrag 4","Trifft zu","Trifft zu","Trifft zu","","Kreditantrag 5","Trifft zu","Trifft zu","Keine Meinung","Blau","Trifft zu","Trifft nicht zu","Keine Meinung","Keine Meinung","Trifft nicht zu","Keine Meinung","Trifft zu","männlich","ja","25-29","nein","grundlegend (zB. durch ein Modul an der Hochschule)","",""
"6","2023-12-17 17:39:48","1967372539","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft voll und ganz zu","Trifft zu","Kreditantrag 4","","Trifft voll und ganz zu","Keine Meinung","Keine Meinung","Kreditantrag 6","","Trifft zu","Trifft überhaupt nicht zu","Trifft nicht zu","Rot","Keine Meinung","Keine Meinung","Trifft überhaupt nicht zu","Keine Meinung","Trifft zu","Keine Meinung","Trifft nicht zu","männlich","ja","25-29","nein","grundlegend (zB. durch ein Modul an der Hochschule)","Auf Grund meiner fehlenden Erfahrung mit Krediten, sind meine Entscheidungen schlecht begründbar.",""
"7","2023-12-17 18:04:15","1031099741","2","","","","","","","Kreditantrag 2","Trifft zu","Trifft voll und ganz zu","Trifft zu","","Kreditantrag 3","Trifft voll und ganz zu","Trifft voll und ganz zu","Trifft voll und ganz zu","","Kreditantrag 5","Trifft nicht zu","Trifft zu","Keine Meinung","Rot","Trifft zu","Trifft zu","Trifft zu","Trifft zu","Trifft nicht zu","Keine Meinung","Trifft zu","weiblich","ja","21-24","nein","grundlegend (zB. durch ein Modul an der Hochschule)","Interessante Aufgaben und mal wieder eine Studie zum etwas mehr Nachdenken als sonst. Nice:)",""
"9","2023-12-17 23:07:26","1588093278","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Trifft zu","Kreditantrag 4","","Trifft voll und ganz zu","Trifft nicht zu","Keine Meinung","Kreditantrag 6","","Trifft zu","Keine Meinung","Trifft zu","Rot","Trifft nicht zu","Trifft nicht zu","Keine Meinung","Trifft überhaupt nicht zu","Trifft zu","Keine Meinung","Keine Meinung","männlich","ja","18-20","nein","nein","",""
"10","2023-12-18 01:12:11","1477519724","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Trifft zu","Kreditantrag 4","","Trifft voll und ganz zu","Trifft nicht zu","Trifft zu","Kreditantrag 6","","Trifft zu","Keine Meinung","Keine Meinung","Rot","Trifft nicht zu","Trifft nicht zu","Trifft nicht zu","Trifft nicht zu","Trifft zu","Keine Meinung","Trifft nicht zu","männlich","ja","21-24","nein","nein","",""
"11","2023-12-18 06:30:07","558147682","2","","","","","","","Kreditantrag 2","Trifft zu","Trifft zu","Keine Meinung","","Kreditantrag 3","Trifft zu","Trifft zu","Trifft zu","","Kreditantrag 5","Trifft voll und ganz zu","Trifft nicht zu","Trifft zu","Rot","Trifft zu","Keine Meinung","Keine Meinung","Keine Meinung","Trifft überhaupt nicht zu","Keine Meinung","Trifft zu","männlich","nein","25-29","nein","grundlegend (zB. durch ein Modul an der Hochschule)","",""
"12","2023-12-18 07:29:47","389597130","2","","","","","","","Kreditantrag 2","Trifft voll und ganz zu","Trifft zu","Trifft voll und ganz zu","","Kreditantrag 3","Trifft nicht zu","Trifft voll und ganz zu","Trifft voll und ganz zu","","Kreditantrag 6","Trifft voll und ganz zu","Keine Meinung","Trifft voll und ganz zu","Rot","Trifft zu","Trifft zu","Trifft nicht zu","Trifft zu","Trifft nicht zu","Trifft nicht zu","Trifft zu","weiblich","nein","25-29","nein","nein","",""
"13","2023-12-18 08:53:18","472982448","2","","","","","","","Kreditantrag 2","Trifft zu","Trifft voll und ganz zu","Trifft nicht zu","","Kreditantrag 3","Trifft zu","Trifft voll und ganz zu","Trifft nicht zu","","Kreditantrag 5","Trifft voll und ganz zu","Trifft voll und ganz zu","Trifft nicht zu","Rot","Keine Meinung","Trifft zu","Keine Meinung","Trifft nicht zu","Trifft zu","Trifft nicht zu","Trifft nicht zu","weiblich","ja","25-29","nein","nein","",""
"14","2023-12-18 10:19:26","2065227353","1","","","","","","Kreditantrag 2","","Trifft nicht zu","Trifft voll und ganz zu","Trifft voll und ganz zu","Kreditantrag 3","","Trifft zu","Trifft voll und ganz zu","Trifft nicht zu","Kreditantrag 5","","Trifft zu","Trifft überhaupt nicht zu","Trifft nicht zu","Rot","Trifft zu","Trifft zu","Keine Meinung","Trifft nicht zu","Trifft zu","Trifft zu","Trifft zu","männlich","ja","25-29","nein","ja - fortgeschritten (bereits selbst implementiert)","",""
"16","2023-12-18 11:28:17","949368377","2","","","","","","","Kreditantrag 1","Trifft nicht zu","Trifft zu","Trifft zu","","Kreditantrag 4","Trifft nicht zu","Trifft zu","Trifft zu","","Kreditantrag 6","Trifft zu","Trifft überhaupt nicht zu","Trifft zu","Blau","Trifft zu","Trifft zu","Trifft nicht zu","Trifft zu","Trifft nicht zu","Keine Meinung","Trifft zu","männlich","ja","25-29","nein","nein","",""
"17","2023-12-18 11:55:36","1597941536","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Trifft nicht zu","Kreditantrag 3","","Trifft zu","Trifft zu","Trifft zu","Kreditantrag 5","","Trifft voll und ganz zu","Keine Meinung","Keine Meinung","Rot","Trifft zu","Trifft zu","Trifft nicht zu","Trifft nicht zu","Trifft nicht zu","Trifft zu","Keine Meinung","weiblich","ja","21-24","nein","nein","Bonne chance avec les données!",""
"19","2023-12-18 12:52:33","1649199353","2","","","","","","","Kreditantrag 2","Keine Meinung","Trifft zu","Keine Meinung","","Kreditantrag 4","Keine Meinung","Trifft voll und ganz zu","Trifft nicht zu","","Kreditantrag 6","Keine Meinung","Trifft zu","Trifft nicht zu","Blau","Keine Meinung","Keine Meinung","Trifft überhaupt nicht zu","Trifft nicht zu","Trifft zu","Trifft zu","Keine Meinung","männlich","ja","21-24","nein","nein","Die Farbwahl, was besser und was schlechter ist (rot, blau), wäre z.B. anders herum definiert besser gewesen. Man denkt bei rot statistisch gesehen eher an etwas negatives (z.B. schon alleine die Redewendung: ""die Firma schreibt rote Zahlen"")",""
"21","2023-12-18 15:13:01","650366923","1","","","","","","Kreditantrag 1","","Trifft zu","Keine Meinung","Trifft nicht zu","Kreditantrag 3","","Trifft zu","Trifft nicht zu","Keine Meinung","Kreditantrag 5","","Trifft zu","Keine Meinung","Trifft nicht zu","Blau","Keine Meinung","Trifft zu","Trifft nicht zu","Trifft zu","Keine Meinung","Trifft zu","Trifft voll und ganz zu","männlich","ja","21-24","nein","ja - fortgeschritten (bereits selbst implementiert)","",""
"23","2023-12-18 16:39:22","597866479","2","","","","","","","Kreditantrag 2","Trifft zu","Trifft zu","Keine Meinung","","Kreditantrag 3","Trifft zu","Keine Meinung","Keine Meinung","","Kreditantrag 6","Trifft zu","Keine Meinung","Keine Meinung","Rot","Trifft nicht zu","Keine Meinung","Trifft nicht zu","Keine Meinung","Trifft zu","Keine Meinung","Trifft zu","weiblich","nein","50-59","ja - als Kund:in","nein","Ich nutze Chat CPT als Textgenerator für englischsprachige Briefe. ",""
"24","2023-12-18 17:13:40","1960795778","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Trifft voll und ganz zu","Kreditantrag 4","","Trifft voll und ganz zu","Trifft nicht zu","Trifft nicht zu","Kreditantrag 6","","Trifft zu","Trifft zu","Keine Meinung","Rot","Trifft zu","Keine Meinung","Trifft nicht zu","Trifft zu","Trifft nicht zu","Trifft zu","Trifft voll und ganz zu","männlich","ja","21-24","nein","nein","",""
"25","2023-12-18 20:50:46","1975128399","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Trifft nicht zu","Kreditantrag 4","","Trifft voll und ganz zu","Trifft überhaupt nicht zu","Trifft zu","Kreditantrag 6","","Trifft voll und ganz zu","Trifft zu","Trifft voll und ganz zu","Rot","Trifft nicht zu","Keine Meinung","Trifft nicht zu","Trifft nicht zu","Trifft nicht zu","Trifft zu","Trifft zu","männlich","nein","25-29","nein","nein","",""
"29","2023-12-19 13:15:05","121608852","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft voll und ganz zu","Trifft zu","Kreditantrag 3","","Trifft nicht zu","Trifft voll und ganz zu","Keine Meinung","Kreditantrag 5","","Trifft voll und ganz zu","Trifft überhaupt nicht zu","Keine Meinung","Rot","Trifft zu","Keine Meinung","Keine Meinung","Trifft zu","Trifft nicht zu","Trifft zu","Keine Meinung","weiblich","ja","21-24","nein","nein","",""
"30","2023-12-20 00:05:40","887155359","2","","","","","","","Kreditantrag 1","Trifft zu","Trifft zu","Trifft zu","","Kreditantrag 3","Trifft voll und ganz zu","Trifft zu","Trifft zu","","Kreditantrag 6","Trifft zu","Trifft zu","Trifft voll und ganz zu","Rot","Trifft zu","Trifft zu","Trifft zu","Trifft zu","Trifft zu","Trifft zu","Trifft zu","männlich","nein","30-34","ja - als Kund:in","nein","",""
"31","2023-12-20 11:16:23","2010425157","2","","","","","","","Kreditantrag 2","Trifft voll und ganz zu","Trifft zu","Trifft zu","","Kreditantrag 4","Trifft zu","Trifft nicht zu","Trifft zu","","Kreditantrag 5","Trifft zu","Trifft zu","Trifft nicht zu","Rot","Trifft zu","Trifft nicht zu","Trifft überhaupt nicht zu","Trifft nicht zu","Trifft zu","Keine Meinung","Trifft voll und ganz zu","männlich","ja","25-29","nein","nein","",""
"32","2023-12-20 11:32:31","825036738","2","","","","","","","Kreditantrag 2","Trifft voll und ganz zu","Trifft voll und ganz zu","Trifft voll und ganz zu","","Kreditantrag 3","Trifft voll und ganz zu","Trifft zu","Trifft zu","","Kreditantrag 5","Trifft voll und ganz zu","Trifft nicht zu","Trifft voll und ganz zu","Rot","Trifft nicht zu","Trifft zu","Trifft überhaupt nicht zu","Trifft nicht zu","Trifft voll und ganz zu","Trifft nicht zu","Trifft zu","männlich","ja","25-29","nein","grundlegend (zB. durch ein Modul an der Hochschule)","Ich habe die Entscheidung der KI stehts versucht zu berücksichtigen. Wenn die KI meine initiale Meinung bestätigt hat, habe ich mich sicherer gefühlt.

Wenn mir die KI widersprochen hat, habe ich die Daten nochmal genauer angeschaut, um meine Meinung zu hinterfragen. Bin ich nochmal zum selben Ergebnis gekommen, habe ich die KI Meinung ignoriert.",""
"33","2023-12-20 11:34:30","1390509749","1","","","","","","Kreditantrag 2","","Trifft nicht zu","Trifft zu","Trifft nicht zu","Kreditantrag 3","","Trifft zu","Trifft zu","Trifft zu","Kreditantrag 6","","Trifft zu","Trifft nicht zu","Trifft voll und ganz zu","Rot","Keine Meinung","Trifft nicht zu","Trifft nicht zu","Trifft nicht zu","Trifft zu","Trifft zu","Keine Meinung","männlich","ja","25-29","nein","ja - fortgeschritten (bereits selbst implementiert)","",""
"39","2023-12-20 13:56:13","889460730","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Keine Meinung","Kreditantrag 4","","Trifft zu","Keine Meinung","Trifft überhaupt nicht zu","Kreditantrag 5","","Trifft zu","Keine Meinung","Trifft nicht zu","Rot","Trifft zu","Keine Meinung","Trifft nicht zu","Keine Meinung","Trifft nicht zu","Trifft voll und ganz zu","Keine Meinung","weiblich","nein","25-29","nein","nein","",""
"40","2023-12-20 14:05:25","1970666842","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft zu","Trifft zu","Kreditantrag 4","","Trifft zu","Trifft nicht zu","Trifft zu","Kreditantrag 5","","Trifft zu","Trifft überhaupt nicht zu","Trifft zu","Rot","Trifft nicht zu","Keine Meinung","Trifft nicht zu","Trifft nicht zu","Trifft zu","Trifft nicht zu","Trifft überhaupt nicht zu","männlich","nein","25-29","ja - als Kund:in","grundlegend (zB. durch ein Modul an der Hochschule)","",""
"42","2023-12-21 14:08:10","616443930","1","","","","","","Kreditantrag 2","","Trifft zu","Trifft voll und ganz zu","Trifft zu","Kreditantrag 4","","Trifft zu","Trifft voll und ganz zu","Trifft zu","Kreditantrag 6","","Trifft voll und ganz zu","Trifft nicht zu","Trifft zu","Rot","Trifft zu","Trifft zu","Trifft nicht zu","Trifft zu","Trifft nicht zu","Trifft voll und ganz zu","Trifft zu","weiblich","ja","25-29","nein","nein","",""
"43","2023-12-23 10:01:49","482696399","1","","","","","","Kreditantrag 2","","Trifft voll und ganz zu","Keine Meinung","Trifft voll und ganz zu","Kreditantrag 4","","Trifft voll und ganz zu","Trifft nicht zu","Trifft zu","Kreditantrag 6","","Trifft zu","Keine Meinung","Trifft voll und ganz zu","Rot","Keine Meinung","Keine Meinung","Trifft nicht zu","Trifft nicht zu","Trifft nicht zu","Keine Meinung","Trifft nicht zu","männlich","nein","60 und darüber","ja - als Kund:in","nein","",""
"44","2023-12-23 10:17:07","671335043","2","","","","","","","Kreditantrag 1","Trifft zu","Trifft nicht zu","Trifft zu","","Kreditantrag 4","Trifft zu","Trifft nicht zu","Trifft nicht zu","","Kreditantrag 5","Trifft zu","Trifft nicht zu","Trifft zu","Rot","Trifft nicht zu","Trifft zu","Trifft nicht zu","Trifft nicht zu","Keine Meinung","Trifft nicht zu","Trifft nicht zu","weiblich","nein","50-59","ja - als Kund:in","nein","",""
